GeoName,Description,2012,2013,2014,2015,2016
"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",        Scenic and sightseeing transportation,(D),4478,(D),(D),(D)
"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",        Support activities for transportation,2052933,(D),(D),(D),2122275
"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",        Couriers and messengers,(D),(D),466931,502128,518990
"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",        Warehousing and storage,"495,602 E",571278,684001,717108,802360
"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",      Information,"2,825,439 E",(D),(D),(D),2937066
"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",        Publishing industries (except Internet),"654,548 E",(D),(D),800442,(D)
"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",        Motion picture and sound recording industries,"111,626 E",142080,131274,146972,135384
"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",        Broadcasting (except Internet),"270,633 E",266524,271469,254276,261368
"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",        Internet publishing and broadcasting 4/,(NA),(NA),(NA),(NA),(NA)
"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",        Telecommunications,"1,348,797 E",1317856,(D),(D),1270197
"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)","        Data processing, hosting, and related services","339,813 E",383525,388148,400988,380507
"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",        Other information services 4/,"85,056 E",(D),108133,(D),(D)
"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",      Finance and insurance,10176393,10401179,11093160,11799883,12272956
"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",        Monetary Authorities-central bank,(D),(D),(D),(D),(D)
"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",        Credit intermediation and related activities,3489230,3681174,3776922,4040800,4219176
"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)","        Securities, commodity contracts, and other financial investments and related activities","3,612,557 E",3583091,3853872,3995225,4113671
"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",        Insurance carriers and related activities,3042020,(D),3435394,3730456,3836051
"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)","        Funds, trusts, and other financial vehicles",(D),(D),(D),(D),(D)
"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",      Real estate and rental and leasing,3472543,3664316,3920391,4259127,4139259
"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",        Real estate,"2,316,308 E",(D),(D),(D),2827459
"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",        Rental and leasing services,"1,099,949 E",(D),1241756,1279000,1275027
"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",        Lessors of nonfinancial intangible assets (except copyrighted works),18509,17975,(D),(D),36773
"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)","      Professional, scientific, and technical services","22,132,584 E",(D),(D),(D),(D)
"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",      Management of companies and enterprises,"3,939,969 E",(D),(D),(D),6453251
"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",      Administrative and support and waste management and remediation services,"10,502,931 E",11348166,12377139,(D),(D)
"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",        Administrative and support services,9776835,10569583,11533853,11413136,11099303
"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",        Waste management and remediation services,"742,137 E",778583,843286,(D),(D)
"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",      Educational services,"2,579,710 E",(D),2862365,(D),3224824
"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",      Health care and social assistance,"14,877,164 E",(D),16845134,(D),19090837
"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",        Ambulatory health care services,8031870,8380680,8827758,9530057,9726335
"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",        Hospitals,"4,939,043 E",5346744,5834406,6330234,6858821
"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",        Nursing and residential care facilities,"981,029 E",(D),1063797,1130289,1204668
"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",        Social assistance,"913,180 E",1038975,1119173,(D),1301013
"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)","      Arts, entertainment, and recreation",1222136,1251259,(D),(D),1658321
"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)","        Performing arts, spectator sports, and related industries","576,811 E",589723,631196,721292,826203
